ID,subject,inst1_RT,inst2_RT,inst3_RT,comprehension1_RT,comprehension1_error,comprehension2_RT,comprehension2_error,gold_successrate,room1preference,action_repeating,choice_consistency,selection_mRT,selection_dRT,selection_timeout,skip_survey,attention_check_fail,straightlining,zigzagging,task_outliers,survey_outliers,outliers
vxybx9aaz3oslmukgmjv0o12,175,199.497,141.931,190.216,31.549,0,244.911,3,1.0,1.0,0.634,0.889,10.26523,5.55348,2,0,0,0.4102564102564103,0.3333333333333333,false,false,false
vyeoxe471xacbwgx78mtc5ft,176,104.676,39.549,102.249,41.221,0,69.107,2,1.0,1.0,0.437,0.722,4.65746,3.26852,1,0,0,0.4615384615384615,0.3333333333333333,false,false,false
vzqqqzm8prytvr06jq7hymrb,177,68.257,27.478,63.188,29.534,2,37.411,0,1.0,1.0,0.479,0.861,4.02296,2.71947,0,0,0,0.4615384615384615,0.4166666666666667,false,false,false
wf7p411g92pyyjo3nniwi1ea,178,150.737,40.37,94.07,52.688,1,53.976,2,0.6666666666666666,1.0,0.451,0.917,5.51733,2.05779,0,0,0,0.38461538461538464,0.3333333333333333,false,false,false
wmxh521kqpsytyvyjvtprc81,179,68.998,16.351,67.07,33.037,2,45.756,1,0.6666666666666666,0.9375,0.535,0.944,3.41658,2.14035,0,0,0,0.35897435897435903,0.4166666666666667,false,false,false
wp2k3d67gmwuojotyludask4,180,92.913,44.331,77.061,45.408,0,81.809,1,1.0,1.0,0.451,1.0,8.83761,4.93683,0,0,0,0.3846153846153846,0.3055555555555555,false,false,false
wu2qyzik67cg02s7280whscn,181,1000.259,224.197,220.236,66.569,1,85.092,1,1.0,1.0,0.423,0.833,6.3198,3.22971,1,0,0,0.358974358974359,0.4166666666666667,false,false,false
wzctl8da1z8fgcsjjuno2gys,182,247.149,203.579,108.458,56.722,1,74.875,1,1.0,1.0,0.408,0.833,7.36214,3.35566,0,0,0,0.3333333333333333,0.3055555555555555,false,false,false
x6496ycwgmdaw7wuj6dpadyt,183,81.913,34.117,64.339,39.822,0,68.02,2,1.0,1.0,0.465,1.0,3.48157,3.10494,0,0,0,0.5641025641025642,0.1111111111111111,false,false,false
xb30zxkoof6rvt4j0g4858pn,184,84.312,22.09,66.161,31.014,3,33.922,1,1.0,1.0,0.535,0.972,6.56962,4.74468,0,0,0,0.5641025641025642,0.3333333333333333,false,false,false
