trial,GB_condition,subject,ID,timeout,rt,room1,room2,action,chosenroom,gold,bomb,Gtrials
103,false,3,08jos05kd4o9ze7ns929qyaa,false,324,7,5,1,5,16.0,36.5,1
104,false,3,08jos05kd4o9ze7ns929qyaa,false,364,0,7,1,7,16.375,36.5,1
105,false,3,08jos05kd4o9ze7ns929qyaa,false,401,7,4,1,4,16.625,36.5,1
106,false,3,08jos05kd4o9ze7ns929qyaa,false,603,5,0,1,0,17.625,36.5,1
107,false,3,08jos05kd4o9ze7ns929qyaa,false,509,4,5,1,5,18.125,36.5,1
108,false,3,08jos05kd4o9ze7ns929qyaa,false,1061,2,4,1,4,19.25,36.5,1
109,false,3,08jos05kd4o9ze7ns929qyaa,false,573,9,5,1,5,19.75,36.5,1
110,false,3,08jos05kd4o9ze7ns929qyaa,false,379,9,1,1,1,20.25,36.5,1
111,false,3,08jos05kd4o9ze7ns929qyaa,false,363,7,9,1,9,20.5,36.5,1
112,false,3,08jos05kd4o9ze7ns929qyaa,false,1158,1,6,1,6,20.833333333333332,36.5,1
113,false,3,08jos05kd4o9ze7ns929qyaa,false,592,8,6,1,6,21.166666666666664,36.5,1
114,false,3,08jos05kd4o9ze7ns929qyaa,false,408,6,2,1,2,21.666666666666664,36.5,1
115,false,3,08jos05kd4o9ze7ns929qyaa,false,1025,9,0,1,0,23.0,36.5,1
116,false,3,08jos05kd4o9ze7ns929qyaa,false,398,6,5,1,5,23.5,36.5,1
117,false,3,08jos05kd4o9ze7ns929qyaa,false,349,1,7,1,7,23.875,36.5,1
118,false,3,08jos05kd4o9ze7ns929qyaa,false,361,5,2,1,2,24.375,36.5,1
119,false,3,08jos05kd4o9ze7ns929qyaa,false,348,7,1,1,1,24.875,36.5,1
120,false,3,08jos05kd4o9ze7ns929qyaa,false,375,0,1,1,1,25.375,36.5,1
121,false,3,08jos05kd4o9ze7ns929qyaa,false,405,2,6,1,6,25.708333333333332,36.5,1
122,false,3,08jos05kd4o9ze7ns929qyaa,false,910,5,9,1,9,26.25,36.5,1
123,false,3,08jos05kd4o9ze7ns929qyaa,false,414,1,8,1,8,26.5,36.5,1
124,false,3,08jos05kd4o9ze7ns929qyaa,false,449,5,4,1,4,26.75,36.5,1
125,false,3,08jos05kd4o9ze7ns929qyaa,false,520,9,2,1,2,27.25,36.5,1
126,false,3,08jos05kd4o9ze7ns929qyaa,false,626,2,5,1,5,27.75,36.5,1
127,false,3,08jos05kd4o9ze7ns929qyaa,false,711,2,8,1,8,28.0,36.5,1
128,false,3,08jos05kd4o9ze7ns929qyaa,false,439,0,8,1,8,28.25,36.5,1
129,false,3,08jos05kd4o9ze7ns929qyaa,false,1004,4,9,1,9,29.25,36.5,1
130,false,3,08jos05kd4o9ze7ns929qyaa,false,454,4,0,1,0,30.25,36.5,1
131,false,3,08jos05kd4o9ze7ns929qyaa,false,293,4,6,1,6,30.583333333333332,36.5,1
132,false,3,08jos05kd4o9ze7ns929qyaa,false,526,6,9,1,9,30.833333333333332,36.5,1
133,false,3,08jos05kd4o9ze7ns929qyaa,false,477,8,1,1,1,31.333333333333332,36.5,1
134,false,3,08jos05kd4o9ze7ns929qyaa,false,426,7,8,1,8,31.583333333333332,36.5,1
135,false,3,08jos05kd4o9ze7ns929qyaa,false,446,9,7,1,7,31.958333333333332,36.5,1
136,false,3,08jos05kd4o9ze7ns929qyaa,false,1153,4,8,1,8,32.25,36.5,1
137,false,3,08jos05kd4o9ze7ns929qyaa,false,388,9,6,1,6,32.583333333333336,36.5,1
138,false,3,08jos05kd4o9ze7ns929qyaa,false,1541,7,0,1,0,33.583333333333336,36.5,1
139,false,3,08jos05kd4o9ze7ns929qyaa,false,1157,5,1,1,1,34.083333333333336,36.5,1
140,false,3,08jos05kd4o9ze7ns929qyaa,false,371,8,9,1,9,34.333333333333336,36.5,1
141,false,3,08jos05kd4o9ze7ns929qyaa,false,513,1,4,1,4,34.583333333333336,36.5,1
142,false,3,08jos05kd4o9ze7ns929qyaa,false,378,1,2,1,2,35.083333333333336,36.5,1
143,false,3,08jos05kd4o9ze7ns929qyaa,false,1348,9,4,1,4,36.25,36.5,1
144,false,3,08jos05kd4o9ze7ns929qyaa,false,805,8,4,1,4,36.5,36.5,1
73,false,4,09ym7c77o609ux5ev1uxznko,false,4107,1,4,0,1,0.5,37.5,1
74,false,4,09ym7c77o609ux5ev1uxznko,false,4704,2,7,0,2,1.0,37.5,1
75,false,4,09ym7c77o609ux5ev1uxznko,false,4038,5,8,1,8,1.25,37.5,1
76,false,4,09ym7c77o609ux5ev1uxznko,false,2807,9,5,1,5,1.75,37.5,1
77,false,4,09ym7c77o609ux5ev1uxznko,false,3347,1,0,1,0,2.75,37.5,1
78,false,4,09ym7c77o609ux5ev1uxznko,false,2083,7,8,1,8,3.0,37.5,1
79,false,4,09ym7c77o609ux5ev1uxznko,false,2927,9,2,1,2,3.5,37.5,1
80,false,4,09ym7c77o609ux5ev1uxznko,false,2142,6,9,0,6,4.333333333333333,37.5,1
81,false,4,09ym7c77o609ux5ev1uxznko,false,3515,5,4,0,5,4.833333333333333,37.5,1
82,false,4,09ym7c77o609ux5ev1uxznko,false,3230,2,1,0,2,5.333333333333333,37.5,1
83,false,4,09ym7c77o609ux5ev1uxznko,false,1912,7,6,1,6,5.666666666666666,37.5,1
84,false,4,09ym7c77o609ux5ev1uxznko,false,3532,0,2,0,0,6.666666666666666,37.5,1
85,false,4,09ym7c77o609ux5ev1uxznko,false,1152,4,8,1,8,6.916666666666666,37.5,1
86,false,4,09ym7c77o609ux5ev1uxznko,false,3676,6,5,0,6,7.249999999999999,37.5,1
87,false,4,09ym7c77o609ux5ev1uxznko,false,3107,7,4,0,7,8.375,37.5,1
88,false,4,09ym7c77o609ux5ev1uxznko,false,2693,9,4,1,4,8.625,37.5,1
89,false,4,09ym7c77o609ux5ev1uxznko,false,3351,0,5,0,0,9.625,37.5,1
90,false,4,09ym7c77o609ux5ev1uxznko,false,2308,4,2,1,2,10.125,37.5,1
91,false,4,09ym7c77o609ux5ev1uxznko,false,2082,4,6,1,6,10.458333333333334,37.5,1
92,false,4,09ym7c77o609ux5ev1uxznko,false,3875,5,1,1,1,10.958333333333334,37.5,1
